timestamp,dataset,name,split,acc_mean,acc_std,n_way,n_shot,n_query,learning_rate,backbone_weight_decay,backbone_dropout
20231211-021324,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.01lr_0.0bbwd_0.0do,train,90.7488888888889,7.822610785803731,5,5,15,0.01,0.0,0.0
20231211-021324,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.01lr_0.0bbwd_0.0do,val,60.1,10.510189059863484,5,5,15,0.01,0.0,0.0
20231211-021324,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.01lr_0.0bbwd_0.0do,test,49.46666666666667,7.825504361925723,5,5,15,0.01,0.0,0.0
20231211-021626,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.01lr_0.0bbwd_0.1do,train,76.91777777777777,11.003665158190712,5,5,15,0.01,0.0,0.1
20231211-021626,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.01lr_0.0bbwd_0.1do,val,62.233333333333334,10.218012418165177,5,5,15,0.01,0.0,0.1
20231211-021626,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.01lr_0.0bbwd_0.1do,test,49.79333333333334,7.753916095420095,5,5,15,0.01,0.0,0.1
20231211-021924,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.01lr_0.0bbwd_0.2do,train,80.11555555555555,10.274382862725943,5,5,15,0.01,0.0,0.2
20231211-021924,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.01lr_0.0bbwd_0.2do,val,61.04222222222223,11.411287243041858,5,5,15,0.01,0.0,0.2
20231211-021924,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.01lr_0.0bbwd_0.2do,test,52.56888888888889,7.748026909326937,5,5,15,0.01,0.0,0.2
20231211-022220,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.01lr_0.001bbwd_0.0do,train,73.25777777777779,10.81591054824578,5,5,15,0.01,0.001,0.0
20231211-022220,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.01lr_0.001bbwd_0.0do,val,61.34222222222221,9.905026532891466,5,5,15,0.01,0.001,0.0
20231211-022220,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.01lr_0.001bbwd_0.0do,test,51.67111111111111,7.429968014154436,5,5,15,0.01,0.001,0.0
20231211-022518,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.01lr_0.001bbwd_0.1do,train,73.08888888888887,10.743036791623346,5,5,15,0.01,0.001,0.1
20231211-022518,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.01lr_0.001bbwd_0.1do,val,62.91555555555555,10.53123654704786,5,5,15,0.01,0.001,0.1
20231211-022518,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.01lr_0.001bbwd_0.1do,test,50.46666666666667,8.781208893405829,5,5,15,0.01,0.001,0.1
20231211-022814,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.01lr_0.001bbwd_0.2do,train,72.99111111111112,11.073421410223448,5,5,15,0.01,0.001,0.2
20231211-022814,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.01lr_0.001bbwd_0.2do,val,61.86444444444445,10.308974634981471,5,5,15,0.01,0.001,0.2
20231211-022814,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.01lr_0.001bbwd_0.2do,test,55.48,8.484712177837308,5,5,15,0.01,0.001,0.2
20231211-023113,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.001lr_0.0bbwd_0.0do,train,90.42666666666666,7.6688035669293395,5,5,15,0.001,0.0,0.0
20231211-023113,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.001lr_0.0bbwd_0.0do,val,63.04,11.337902346978899,5,5,15,0.001,0.0,0.0
20231211-023113,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.001lr_0.0bbwd_0.0do,test,51.94444444444444,8.205501015390848,5,5,15,0.001,0.0,0.0
20231211-023410,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.001lr_0.0bbwd_0.1do,train,84.68,8.856709530277241,5,5,15,0.001,0.0,0.1
20231211-023410,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.001lr_0.0bbwd_0.1do,val,59.468888888888884,11.134171403364787,5,5,15,0.001,0.0,0.1
20231211-023410,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.001lr_0.0bbwd_0.1do,test,51.842222222222226,7.496487737271484,5,5,15,0.001,0.0,0.1
20231211-023710,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.001lr_0.0bbwd_0.2do,train,82.29111111111112,9.770613284263035,5,5,15,0.001,0.0,0.2
20231211-023710,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.001lr_0.0bbwd_0.2do,val,61.222222222222214,10.990074085057923,5,5,15,0.001,0.0,0.2
20231211-023710,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.001lr_0.0bbwd_0.2do,test,50.422222222222224,8.081406796002112,5,5,15,0.001,0.0,0.2
20231211-024008,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.001lr_0.001bbwd_0.0do,train,88.86,7.923595330590967,5,5,15,0.001,0.001,0.0
20231211-024008,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.001lr_0.001bbwd_0.0do,val,61.62,11.126114093196009,5,5,15,0.001,0.001,0.0
20231211-024008,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.001lr_0.001bbwd_0.0do,test,54.69777777777779,8.647101562494727,5,5,15,0.001,0.001,0.0
20231211-024307,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.001lr_0.001bbwd_0.1do,train,86.09333333333333,9.103692372593377,5,5,15,0.001,0.001,0.1
20231211-024307,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.001lr_0.001bbwd_0.1do,val,56.19777777777777,11.138428419410028,5,5,15,0.001,0.001,0.1
20231211-024307,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.001lr_0.001bbwd_0.1do,test,52.25111111111112,8.718089891600378,5,5,15,0.001,0.001,0.1
20231211-024607,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.001lr_0.001bbwd_0.2do,train,78.73333333333333,9.947193909171906,5,5,15,0.001,0.001,0.2
20231211-024607,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.001lr_0.001bbwd_0.2do,val,60.22888888888888,10.690988705735911,5,5,15,0.001,0.001,0.2
20231211-024607,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.001lr_0.001bbwd_0.2do,test,53.50888888888889,7.544946473232969,5,5,15,0.001,0.001,0.2
20231211-024908,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_1lf_0.0001lr_0.0bbwd_0.0do,train,81.24888888888889,10.19739884528778,5,5,15,0.0001,0.0,0.0
