"timestamp", "dataset", "name", "split", "acc_mean", "acc_std", "n_way", "n_shot", "n_query"
20231209-021323,tabula_muris,maml_5w_20s,train,93.1888888888889,6.465396973480544,5,20,15
20231209-021323,tabula_muris,maml_5w_20s,val,90.91111111111113,7.277328230390569,5,20,15
20231209-021323,tabula_muris,maml_5w_20s,test,91.00222222222222,6.884657840462874,5,20,15
20231209-021937,tabula_muris,maml_5w_30s,train,94.72444444444444,5.669639307446571,5,30,15
20231209-021937,tabula_muris,maml_5w_30s,val,92.57777777777777,6.110909087569805,5,30,15
20231209-021937,tabula_muris,maml_5w_30s,test,91.03333333333333,6.815151964284898,5,30,15
20231209-022558,tabula_muris,maml_5w_40s,train,95.2088888888889,5.608135184436408,5,40,15
20231209-022558,tabula_muris,maml_5w_40s,val,91.62666666666667,6.509471162453585,5,40,15
20231209-022558,tabula_muris,maml_5w_40s,test,90.9511111111111,6.8880343556017944,5,40,15
20231209-023218,tabula_muris,maml_5w_50s,train,96.55777777777779,5.000740192125143,5,50,15
20231209-023218,tabula_muris,maml_5w_50s,val,91.52222222222221,6.758031344579648,5,50,15
20231209-023218,tabula_muris,maml_5w_50s,test,89.58222222222221,7.284502745343267,5,50,15
20231209-023846,tabula_muris,maml_5w_70s,train,95.34222222222223,5.400678512470608,5,70,15
20231209-023846,tabula_muris,maml_5w_70s,val,91.97777777777779,5.81284231701404,5,70,15
20231209-023846,tabula_muris,maml_5w_70s,test,91.15333333333334,6.925864566969239,5,70,15
20231209-024517,tabula_muris,maml_5w_90s,train,97.02,4.433497072999631,5,90,15
20231209-024517,tabula_muris,maml_5w_90s,val,91.86,6.06004155956902,5,90,15
20231209-024517,tabula_muris,maml_5w_90s,test,90.90222222222222,6.51954857181438,5,90,15
20231209-025133,tabula_muris,maml_10w_5s,train,51.07888888888889,5.031279811659243,10,5,15
20231209-025133,tabula_muris,maml_10w_5s,val,43.90777777777778,5.43074364550656,10,5,15
20231209-025133,tabula_muris,maml_10w_5s,test,37.01444444444444,6.318211088435135,10,5,15
20231209-025747,tabula_muris,maml_20w_5s,train,8.668888888888889,2.891877940835567,20,5,15
20231209-025747,tabula_muris,maml_20w_5s,val,8.403333333333334,2.3893102987480934,20,5,15
20231209-025747,tabula_muris,maml_20w_5s,test,7.915555555555555,2.157051027630656,20,5,15
20231209-030435,tabula_muris,maml_30w_5s,train,3.6533333333333333,1.992575519684534,30,5,15
20231209-030435,tabula_muris,maml_30w_5s,val,3.7522222222222217,1.558015647290375,30,5,15
20231209-030435,tabula_muris,maml_30w_5s,test,3.9218518518518524,1.6369397909778765,30,5,15
20231209-074307,tabula_muris,relationnet_5w_1s_fc-conc_sum_7lg_2lf,train,87.13111111111112,10.4534521440716,5,1,15
20231209-074307,tabula_muris,relationnet_5w_1s_fc-conc_sum_7lg_2lf,val,74.24,13.40122271922866,5,1,15
20231209-074307,tabula_muris,relationnet_5w_1s_fc-conc_sum_7lg_2lf,test,70.58666666666667,13.178190737393017,5,1,15
20231209-074601,tabula_muris,relationnet_5w_5s_fc-conc_sum_7lg_2lf,train,95.18444444444445,6.1878060093927125,5,5,15
20231209-074601,tabula_muris,relationnet_5w_5s_fc-conc_sum_7lg_2lf,val,81.48888888888888,10.682742515586577,5,5,15
20231209-074601,tabula_muris,relationnet_5w_5s_fc-conc_sum_7lg_2lf,test,80.68,10.30554543275933,5,5,15
20231209-074850,tabula_muris,relationnet_5w_10s_fc-conc_sum_7lg_2lf,train,95.41555555555556,5.859014790985568,5,10,15
20231209-074850,tabula_muris,relationnet_5w_10s_fc-conc_sum_7lg_2lf,val,83.31555555555555,10.769214467495463,5,10,15
20231209-074850,tabula_muris,relationnet_5w_10s_fc-conc_sum_7lg_2lf,test,81.23555555555555,10.084792119759605,5,10,15
20231209-075152,tabula_muris,relationnet_5w_20s_fc-conc_sum_7lg_2lf,train,95.66888888888889,6.292146388382864,5,20,15
20231209-075152,tabula_muris,relationnet_5w_20s_fc-conc_sum_7lg_2lf,val,84.6088888888889,9.779324120148262,5,20,15
20231209-075153,tabula_muris,relationnet_5w_20s_fc-conc_sum_7lg_2lf,test,83.55333333333333,9.029608087963855,5,20,15
20231209-075439,tabula_muris,relationnet_5w_30s_fc-conc_sum_7lg_2lf,train,94.07555555555555,7.0360075660232075,5,30,15
20231209-075439,tabula_muris,relationnet_5w_30s_fc-conc_sum_7lg_2lf,val,83.24,10.02412792918869,5,30,15
20231209-075439,tabula_muris,relationnet_5w_30s_fc-conc_sum_7lg_2lf,test,78.60444444444444,10.711668035313894,5,30,15
20231209-075724,tabula_muris,relationnet_5w_40s_fc-conc_sum_7lg_2lf,train,95.46666666666667,5.778119648005455,5,40,15
20231209-075724,tabula_muris,relationnet_5w_40s_fc-conc_sum_7lg_2lf,val,83.1888888888889,9.681591288447535,5,40,15
20231209-075724,tabula_muris,relationnet_5w_40s_fc-conc_sum_7lg_2lf,test,81.32444444444444,8.972381216341514,5,40,15
20231209-080017,tabula_muris,relationnet_5w_50s_fc-conc_sum_7lg_2lf,train,95.84888888888888,5.580997742560836,5,50,15
